Key,Value
Final Boss Pt1,"어떻게 아직 살아 있는지 모르겠다...

기압계가 모조리 미쳐 날뛴다. 밑바닥에서 그리 멀지 않을 것이다. 습도는 견디기 어려울 만큼 높다."
Final Boss Pt2,"물론 이 지옥은 아직 더 깊이 이어지지만, 압력은 벌써 몸을 짓누를 정도다."
Final Boss Pt3,더 나아갈 수 있을지 모르겠다.
Final Boss Pt4,어지럽다. 아마도...
Final Boss Pt5,"잠시 쉰 뒤에야 내가 어디에 있는지 깨달았다. 해냈다. 너무 지쳐 처음에는 보지 못했지만, <u>나는 마침내 해냈다</u>."
Final Boss Pt6,"이제 모든 것이 보인다. 소문은 사실이었다. 이계의 유물, 산더미 같은 보물, 그리고... 잠깐... 나 혼자가 아니다... 저기, 그림자 속에 도사린 것은..."
Final Boss Pt0,???일째
Hunting Grounds Pt3,마침내 나는...
Hunting Ground Food Success,굳이 위험을 감수할 필요는 없지.
Hunting Ground Prime Sucess,질 좋은 먹이를 구했다!
Hunting Ground Prime Fail,<color=red>안타깝게도 실패했다...
Duplicate Pt1,오늘 이해할 수 없는 꽃 한 쌍을 발견했다. 첫 번째 꽃으로 들어간 것이 다른 꽃에서 그대로 나온다!!
Duplicate Pt2,"이 꽃으로 크리처를 <u>복제</u>할 수 있지만, 고통 없는 과정은 아니다..."
Duplicate Pt3,나는...
Status Items Pt1,오늘 무언가가 눈에 들어왔다.
Status Items Pt2,여정에 도움이 될 만한 아이템을 얻었다.
Status Items Pt3,계속 가기 전에 나는...
Status Items Pt4,여기 하나가 더 있는 모양이다. 나는...
Serum Pt1,오늘 점액에 강력한 돌연변이 유발 성질이 있는 민달팽이를 발견했다.
Serum Pt2,이것을 이용하면 크리처 하나에게 여러 돌연변이를 줄 수 있을 듯하다.
Serum Pt3,나는...
Empty Vessel Pt2,인간이다! 처음에는 죽은 줄 알았다...
Empty Vessel Pt3,하지만 가까이 살펴보니 이 사람에게는 의지도 감정도 남아 있지 않은 듯하다...
Empty Vessel Pt4,인간성을 잃어버린 것이다.
Empty Vessel Pt5,그래도 이곳에 홀로 두고 갈 수는 없으니...
Ascended Creatures Pt1,한동안 이 황금 딱정벌레를 관찰해 왔다.
Ascended Creatures Pt2,위압적인 크리처는 피하면서도 작은 크리처를 두려워하지는 않는다.
Ascended Creatures Pt3,"이유는 모르겠지만, 동료 하나를 물게 내버려 둬야 할 것 같은 기분이 든다..."
Mystery Trade Pt1,오늘 인간성을 잃었다고밖에 표현할 수 없는 자와 마주쳤다.
Mystery Trade Pt2,두려운 모습이었지만 어떻게든 대화를 나눌 수 있었다.
Mystery Trade Pt3,그자는 동료 하나를 넘기면 다른 하나를 주겠다고 제안했다.
Mystery Trade Pt4,이 수수께끼의 교환을 받아들여야 할까?
Safari A Pt1,근처에서 소리가 들리는데 아무리 둘러봐도 크리처가 보이지 않는다.
Safari A Pt2,먹이를 미끼로 놓아 소리의 주인을 유인해 볼까?
Safari B Pt1,내 전략은 효과가 있었다!
Safari B Pt2,크리처가 온순해 보여 나는...
Menacing Presence Pt1,좁은 통로로 지름길을 택했다가 갑자기 포식자의 습격을 받았다!
Menacing Presence Pt3,"싸울 것인가 도망칠 것인가, 본능이 발동했다..."
Menacing Presence Pt2,말도 안 된다. 이 깊이에 살 리 없는 크리처인데!
Purifying Oasis Pt1,오늘 빛나는 물로 가득 찬 기묘한 식물을 발견했다.
Purifying Oasis Pt2,치유 효과가 있는 것 같지만 한 크리처가 마실 만큼밖에 없다...
Fusion Pt1,나무 사이에서 오두막을 발견했다! 게다가 누군가 사는 것 같다. 무섭다...
Fusion Pt2,안에 있는 '인간'이 가까이 오라며 손짓한다.
Egg Pt1,보호자 없이 버려진 둥지에서 알 하나를 발견했다.
Egg Pt2,별 탈 없이 훔칠 수 있을 것 같다...
Tall Tree Pt1,"눈앞에 키 큰 나무가 서 있고, 속이 빈 줄기 안에서 우르릉거리는 소리가 들렸다."
Tall Tree Pt2,직접 살펴보기는 너무 무섭지만 동료 둘을 대신 들여보낼 수는 있겠다...
Fusion Pt3,제안을 받아들였다. 집 안을 보니 이자는 외과의인 모양이다. 내 크리처도 손봐 주고 싶어 하는 듯하다.
Fusion Pt4,어떻게 할까?
Tuto E Pt1,이제 훈련을 마무리하며 이 크리처들을 특별하게 만드는 요소를 배울 차례다...
Tuto E Pt2,"심연의 크리처가 지닐 수 있는 다양한 성질은 본 적 없지만, 지금이 배울 때다!"
Tuto Date,<b>훈련 {number}/5일째
Additional Encounter Part 1,이쯤 되니 완전히 길을 잃었다. 시간 감각이 흐려지고 몸도 아프다.
Additional Encounter Part 2,그저 목적 없이 헤매며 살기 위해 싸우고 있다...
Ability Duplicator Part 1,오늘 그 주사기 중 하나를 또 발견했다.
Ability Duplicator Part 2,하지만 이번 것은 훨씬 정교해 보인다. 조심해서 다룬다면 에센스를 여러 회분 추출할 수 있을 것 같다.
Ability Duplicator Part 3,시험해 볼 수밖에 없었다...
Extra Heal Part 1,먹고 잠시 쉰 뒤 남은 음식이 있다는 것을 깨달았다.
Extra Heal Part 2,"남은 음식을 나중을 위해 아끼는 편이 현명했겠지만, 크리처들에게 간식을 주고 싶었다."
Extra Heal Part 3,그래서 나는...
Revival Part 1,모닥불에 다가가던 중 익숙한 소리가 내 발을 멈추게 했다.
Revival Part 2,처음에는 믿을 수 없었지만 사실이었다! 전투에서 죽었다고 생각한 크리처 하나가 눈앞에 서 있었다!
Revival Part 3,어떻게 살아남았는지는 알 수 없지만 중요하지 않았다. 돌아온 것만으로 기뻐서 나는...
Laboratory Part 1,놀랍다! 임시로 세운 연구소의 잔해를 발견했다. 기구를 보니 이곳에 있던 누군가는 무언가를 증류하려 했던 모양이다.
Laboratory Part 2,장비는 대부분 복구할 수 없지만 놀랍게도 약병 하나가 온전하게 밀봉되어 있다. 바로 옆에는 '됐다! 성공했어! 이—'라고 적힌 쪽지가 놓여 있다. 나머지는 읽을 수 없다.
Laboratory Part 3,나는 충동을 참지 못하고...
Reinforcements Part 1,이 아래에서는 고립감을 느끼기 쉽다. 나만 그렇게 느끼는 것도 아니다.
Reinforcements Part 2,"알고 보니 동료 하나도 같은 외로움을 느끼고 있었고, 결국..."
Tree of balance Part 1,어젯밤 작은 새 한 마리가 속이 빈 나무 안으로 사라지는 것을 보았다.
Tree of balance Part 2,아침이 되자 몸집이 거의 두 배로 불어나 있었다!
Tree of balance Part 3,이 현상을 시험해 봐야 했다! 진상을 알아내기 위해 크리처 하나를 데려와...
Feast Part 1,"거대한 솥을 발견했다. 상태도 아주 좋았다.
"
Feast Part 2,"물론 들고 갈 생각은 없지만, 힘겹게 얻은 승리를 푸짐한 식사로 크리처들과 함께 자축할 기회가 될 수 있다."
Experimental Syringe Part 1,조금이라도 유리해지기를 바라며 전에 이 주사기를 만들었다...
Experimental Syringe Part 2,처음에는 실제로 사용하기가 망설여졌다. 아직 실험 단계이기 때문이다. 하지만 이 일대에 도사린 위험을 생각하면...
Feast Part 3,하지만 크리처마다 입맛이 다르다. 먹이를 아껴 두는 편이 현명할지도 모른다... 결국 나는...
Experimental Syringe Part 3,가능한 모든 이점을 활용해야 한다고 판단했다. 그래서 선택을 내리고...
Red or Blue Part 1,겉모습만 봐도 심연에서 지나치게 오래 살아온 듯한 자를 만났다.
Red or Blue Part 2,그자는 자신이 연구 중인 약을 시험해 보라며 내 크리처에게 큰 도움이 될 거라고 말했다.
Red or Blue Part 3,과학을 위해 시험해 보고 싶어서 나는...
Silver Beetle Part 1,시야 한구석에서 빛을 반사하는 무언가를 발견했다.
Silver Beetle Part 2,"처음에는 동전인 줄 알았지만, 은빛 딱정벌레였다!"
Silver Beetle Part 3,성체인 황금 딱정벌레와 달리 작은 은빛 딱정벌레는 훨씬 덜 공격적이어서 나는...
Phantom Matter Part 1,한눈판 사이 동료 하나가 생물에게 위험한 방사선을 내뿜는 기묘한 수정 지대로 들어갔다.
Phantom Matter Part 2,"심각한 피해를 입을 만큼 오래 머물지는 않았지만, 분명 무언가가..."
Metabolism Shift Part 1,하룻밤 사이 크리처의 신진대사가 완전히 바뀐 것을 알아챘다!
Metabolism Shift Part 2,극한 환경이 녀석의 몸을 억지로 변화시킨 것이다...
Metabolism Shift Gain HP Warning,속도 -{minus_speed}을(를) 대가로 이 크리처의 최대 HP를 +{plus_hp} 하시겠습니까?
Metabolism Shift Gain Speed Warning,최대 HP -{minus_hp}을(를) 대가로 이 크리처의 속도를 +{plus_speed} 하시겠습니까?
Special Foraging Part 1,늘 먹던 음식에 질려 단조로움을 깨 줄 새로운 것을 찾아 나섰다.
Special Foraging Part 2,"채집한 것들이 미심쩍기는 하지만, 가끔 변화를 주는 것도 나쁘지는 않다."
Special Foraging Part 3,그래서 나는...
Lost Explorer Diary Part 1,"제대로 쉬기도 전에 오랫동안 듣지 못했던 소리, 분명한 인간의 목소리에 잠에서 깼다."
Lost Explorer Diary Part 2,친구로 대하고 싶지만 안타깝게도 내게는 선택지가 없다...
Mix and Match Part 1,밤사이 내 크리처 두 마리가 기생충의 공격을 받았다!
Mix and Match Part 2,"처음에는 떼어 내야겠다고 생각했지만, 기생충은 크리처를 먹고 있지 않았다. 오히려 어떤 방식으로 한쪽의 유기물을 다른 쪽으로 '옮기고' 있었다..."
Mix and Match Part 3,나는...
Infinite Syringe Part 3,그래서 나는...
Infinite Syringe Part 2,"보관하는 편이 현명했겠지만, 시험해 보고 싶은 충동을 억누를 수 없었다."
Infinite Syringe Part 1,죽은 탐험가 옆에서 지금껏 본 적 없는 주사기를 발견했다. 품질이 대단히 뛰어났다.
Aberration Part 1,숲 깊은 곳에서 오두막을 발견했다... 이상할 만큼 낯익은 느낌이 들었다.
Aberration Part 2,안에는 인간을 닮았지만 불안감을 불러일으키는 형체가 서 있었다.
Aberration Part 3,그들은 더 이상 원하지 않는 실패작이 하나 있다고 했다. 내게 넘겨줄 뿐 아니라 몇 가지 '조정'도 해 주겠다고 했다. 그게 무슨 뜻인지는 모르겠지만...
Aberration Part 4,나는...
Wave Counter,웨이브 {number}
