Key,Value
TutoE Message8,이 적은 <color=#36D9F6>견고</color> {icons.defense_plus}을(를) 무시하는 <color=#E26BE0>중독</color> {icons.poison}을(를) 부여합니다...
TutoE Message9,주사기로 팀에 <b>특성</b> {venom_cure_name}을(를) 주입하세요. 그러면 <color=#E26BE0>중독</color> {icons.poison} 피해를 받는 대신 체력을 회복합니다!
TutoE Message10,적의 기술은 <b>사용 횟수가 1회로 제한</b>되어 있어 한 전투에 한 번만 사용할 수 있습니다.
TutoE Message11,사용 횟수는 기술 옆에 남은 횟수/최대 횟수로 표시됩니다.
TutoC Swordbird Message1,적이 아군보다 빠릅니다!
TutoC Swordbird Message2,"""{swift_scratch_name}"" 같은 우선 기술로 먼저 공격하세요."
Encounter Choice Tuto 1,이제 어느 길로 갈지 선택할 차례입니다.
Encounter Choice Tuto 2,상대하게 될 적을 확인해 보세요.
Encounter Choice Tuto 3,"전투에서 승리하면 이 아이템 카드들을 얻습니다.
"
Encounter Choice Tuto 4,아이템에 더해 다음 이벤트도 발생합니다:
Encounter Choice Tuto 5,이제 아래쪽 화살표를 눌러 다른 선택지를 확인해 봅시다.
Encounter Choice Tuto 6,보다시피 이 조우에서는 다른 적들이 등장합니다...
Encounter Choice Tuto 8,더 마음에 드는 쪽을 선택하고 전투를 시작하세요!
Encounter Choice Tuto 7,보상도 다릅니다!
Encounter Choice Part2 Tuto 1,전투 중과 마찬가지로 전투 사이에도 배낭을 열어 아이템을 사용할 수 있습니다.
Encounter Choice Part2 Tuto 2,덱을 열어 일부 크리처를 방생할 수도 있습니다.
Taming Advice Part1,"먹이로 크리처를 길들이지 않으면 적은 계속 강해지고, 아군은 그 속도를 따라가지 못합니다!"
Taming Advice Part2,다음 전투에서 크리처를 최소 2마리 길들여 보세요.
Taming Advice Title,크리처를 더 길들이세요!
Encounter Reroll Tuto 1,제시된 두 조우가 모두 마음에 들지 않으면 이 버튼으로 새 조우를 생성할 수 있습니다.
Encounter Reroll Tuto 2,"단, 조우당 한 번만 가능하니 신중하게 사용하세요."
Encounter Reroll Tuto 3,참고: 조우를 새로고침하면 이전 선택지로 돌아갈 수 없습니다.
