Key,Value
Batfish Entry,"{batfish_name}은(는) 약 200마리로 이루어진 큰 무리를 지어 이동하는 대단히 민첩한 비행 생물이다.

해부학적으로는 새보다 물고기에 가깝지만 물속에서 숨을 쉴 수 있는지는 아직 모른다.

재미있게도 길들인 {batfish_name}은(는) 매우 순종적이며 공중 곡예를 비롯한 재주를 쉽게 가르칠 수 있다."
Hell Rat Entry,"이 혐오스러운 설치류는 빨판처럼 생긴 입술로 큰 동물에게 달라붙어 살점을 물어뜯는다.

어떻게 받아들여야 할지 모르겠지만 심연에서 가장 친근하고 충직한 크리처 중 하나다.

이렇게 역겹지만 않았으면 좋았을 텐데."
Lantern Dog Entry,"{lantern_dog_name}의 전구는 기분이 좋을수록 밝아진다. 배를 쓰다듬어 주면 눈이 부실 정도다.

빛으로 일부 포식자를 쫓아낼 수 있지만 그만큼, 어쩌면 그보다 더 많은 포식자를 불러들이는 듯하다.

그래도 부정할 수 없는 매력을 더해 주기는 한다."
Glowtongue Entry,"{glowtongue_name}은(는) 대개 혀를 내민 채 생물 발광으로 곤충을 유인한다. 직접 사냥할 필요가 없다.

혀를 집어넣었다면 겁을 먹고 눈에 띄지 않으려는 것이다. {lantern_dog_name}에게는 사실상 불가능한 사치다."
Bulbfish Entry,"이 놀라운 심해어는 반투명한 몸속에 알을 보관하다 부화할 때가 되면 방출한다.

주목할 점은 알이 폭발성이라는 사실이다. 포식자에게 상처를 입히기 위해 알을 방출하기도 하지만 이 과정에서 자신도 무사하지는 못한다."
Jellymim Entry,"심연이 워낙 적대적인 탓에 이 해파리는 복잡한 눈을 진화시켰고 자포동물치고는 유난히 공격적이 되었다.

가끔 거대한 {jellymim_name} 무리가 한꺼번에 수면으로 떠오르며 장관을 이루는 생물 발광을 보여 준다.

그러나 언제, 왜 이런 행동을 하는지는 아직 알아내지 못했다."
Maniaruk Entry,"이 기묘한 포유류는 나무를 주먹으로 쳐서 열매를, 운이 좋은 날에는 {beaver_monkey_name} 같은 작은 동물까지 자기 입으로 떨어뜨려 사냥한다.

영토를 두고 고도로 의식화된 듯한 씨름을 벌이기도 한다."
Sporeplant Entry,"{sporeplant_name}만큼 발달한 화학적 의사소통을 사용하는 종은 본 적이 없다.

정교한 페로몬 신호로 복잡한 생각을 전달하며, 냄새는 신선하고 매혹적인 향부터 지독한 악취까지 다양하다.

한때 '{sporeplant_name}-인간' 냄새 사전을 만들고 있었는데 {lantern_dog_name}이(가) 먹어 버렸다. 아쉽다."
Cognivil Entry,"{cognivil_name}의 더듬이는 신경계를 확장하는 공생 균류로, 탁월한 지각력과 학습 능력을 제공한다.

{cognivil_name} 곁에 있으면 환각과 혼란을 경험하는 경우가 많다. 일종의 '정신' 능력을 가진 것일지도 모른다.

추가 조사가 필요하다."
Aspiceros Entry,"이 장엄한 크리처는 지금까지 목격한 행동 가운데 가장 이해하기 어려운 행동을 보인다.

가끔 두 개의 거대한 {aspiceros_name} 무리가 마치 두 군대처럼 목숨을 건 전투를 벌인다.

거대한 흙먼지 구름과 천둥 같은 발굽 소리, 수없이 널린 사체가 진정한 장관을 이룬다."
Tideweaver Entry,"{tideweaver_name}들은 셋씩 무리를 지어 빠르게 원을 그리며 헤엄친다. 소용돌이를 만들어 물고기를 끌어들이고 수면에서 헤엄치던 새를 물속으로 끌고 간다.

길들인 {tideweaver_name}은(는) 등에 태워 주는 경우가 많지만 머리를 만지는 것은 몹시 싫어한다."
Masked Howler Entry,"{masked_howler_name}은(는) 심연 깊은 곳에서 살아남기 위해 무엇이 필요한지 완벽히 보여 준다. 진정한 살육 기계다.

시선이 어찌나 강렬한지 눈이 마주치면 시간이 거의 멈출 정도로 느려지는 듯하다. 본래도 빠르고 공격적인 움직임이 초현실적인 수준으로 보인다."
Greatshell Entry,"{greatshell_name}은(는) 평생 성장을 멈추지 않는다.

크릴로 태어나 약 천만 마리 중 하나만 유생 단계를 넘기고, 수십억 마리 중 하나가 전설 속 심연의 레비아탄이 된다.

이 단계에서는 천둥 같은 심장 박동만으로도 수 킬로미터 안의 모든 생명체에게 진정한 자연의 힘이 다가온다는 사실을 알린다."
Cavemaw Entry,"{cavemaw_name}은(는) 촉수에서 환각 물질을 분비해 먹잇감을 턱 안으로 유인한다.

증상은 판단력 저하, 두서없는 말, 경련, 발작이며 심한 경우 인간성을 잃기도 한다.

동굴 벽에 구멍이 빽빽하게 난 모습을 발견했다면 이미 늦었을 가능성이 높다."
Head Piercer Entry,"수많은 다리로 벽과 천장을 소리 없이 기어 다니며 먹잇감을 기습할 때를 기다리는 절지동물이다.

끔찍하게도 사냥 방식은 잔혹하기 짝이 없다. {head_piercer_name}은(는) 광분하여 희생자를 쉴 새 없이 머리로 들이받고 형체를 알아볼 수 없을 때까지 으깨 버린다.

아, 독도 있다. "
Neuromefos Entry,"<align=""right""><color=#9c1b08><i>이 소식은 슬프다.

나는 뉴로메포스다.

조련사가 죽었다.

그의 몸을 묻었다

슬픔. 그의 피로 쓴다. 펜을 잃었다.

책을 풍선에 실어 보낸다. 마지막 소원. 희망

지식은 선물이다"
Former Human Entry,"한때 인간이었다는 사실은 확실하지만 자유 의지를 빼앗은 이 병을 치료할 방법은 없어 보인다.

나만은 같은 운명을 맞지 않기를 바랄 뿐이다."
Tyranorat Entry,"황금 딱정벌레의 독침은 작고 성가신 헬 랫을 포효만으로도 가장 대담한 크리처까지 겁먹게 하는 무시무시한 최상위 포식자로 바꾼다.

하지만 변신한 뒤에도 인간에게는 여전히 친근하다."
Lantern Hound Entry,"귀엽고 어설픈 {lantern_dog_name}이(가) 이렇게 효율적인 살육 기계가 될 줄 누가 알았겠는가?

한때 쓸모가 의심스러웠던 전구는 섬광을 맞은 먹잇감이 방향 감각을 잃고 무력해지는 모습을 보면 그 가치가 분명해진다."
Plant of Might Entry,"{plant_of_might_name}은(는) 나무의 전형적인 번식 전략을 극단까지 밀어붙였다.

열매가 너무 영양가 높고 귀중해서 먹을 기회를 노리는 크리처 사이에 폭력적인 충돌이 자주 벌어진다."
Arachnotongue Entry,"{glowtongue_name}이(가) 변신하는 모습은 차라리 보지 않았으면 했다...

가장 불안한 점은 그 과정에서 신경계 대부분이 여러 혀로 분산된다는 사실이다.

이제 혀가 몸의 움직임을 지배한다고 봐도 무방하다."
Swamp Beast Entry,"놀라울 만큼 끈질긴 이 야수들은 고통에서 뒤틀린 쾌감을 느끼며 상처를 입을 때마다 섬뜩한 웃음소리를 낸다.

고통을 즐기는 성향 때문에 온몸이 흉터와 상처로 뒤덮여 더욱 무시무시해 보인다."
Spinehog Entry,"{buffalion_name}보다 작고 온순한 친척이며 더 영리하고 사회적이기도 하다.

개체 하나가 하루에 가시를 최대 100개까지 떨어뜨려 포식자가 무리를 뒤따르지 못하게 한다."
Marter Entry,"이 온순한 크리처는 강화된 뒷다리로 구멍을 파는 모습이 자주 관찰된다.

이 행동 덕분에 {marter_name}은(는) 가혹한 환경에서도 잠잘 터널을 만들 수 있다.

이상하게도 같은 구멍에서는 두 번 다시 자지 않는다."
Gumursa Entry,"위협을 받으면 {gumursa_name}은(는) 호저처럼 가시를 극적으로 치켜세운다.

완전히 기괴한 점은 등에 난 가시를 스스로 뽑아 투사체처럼 던질 수 있다는 것이다.

안타깝게도 이 과정에서 대량 출혈이 일어난다... 정말 효과적인 전략인지는 모르겠다."
Dipteranae Entry,"목격한 바로는 {dipteranae_name}은(는) 무서울 만큼 공격적이고 겁이 없으며 동족을 포함한 거의 모든 것을 사냥한다.

더 나쁜 점은 거미줄을 포함한 온몸에 독성과 부식성이 있다는 것이다.

곧바로 공격하지 않을 때는 거대한 고치를 만들어 사실상 가스실로 사용하고 먹잇감을 파멸로 유인한다."
Phiopoda Entry,"{phiopoda_name}에게는 다른 포유류에서 본 적 없는 놀라운 특징이 있다.

코가 나선형이며 실제로 이마 안으로 집어넣을 수 있다!

추운 지역에서 체온을 보존하고 동상을 피하는 데 도움이 된다."
Quetzi Entry,"왜 이곳에는 독을 가진 크리처가 이렇게 많은지 모르겠지만, 적어도 {snake_name}은(는) 선명한 붉은 눈으로 포식자에게 경고하는 예의는 갖췄다.

이런 경고색은 지상에 사는 일부 개구리 종을 떠올리게 한다..."
Quetzarion Entry,"현재는 멸종한 티라노사우루스와 놀랍도록 닮은 {quetzarion_name}은(는) 키 3미터의 이족 보행 수각류다.

처음에는 믿을 수 없었지만 내 이론이 맞는다면 실제로 살아 있는 공룡일지도 모른다!

다만 황금 딱정벌레에게 물린 다른 크리처와 마찬가지로 그 기원이 자연스러워 보이지는 않는다."
Rocky Devil Entry,"가느다란 외형과 달리 {rocky_devil}을(를) 얕봐서는 안 된다. 생존 본능이 전혀 없는 것처럼 크기와 관계없이 마주치는 모든 크리처를 공격하려 한다.

이 무모함은 껍질을 치유하고 재생하는 뛰어난 능력에서 비롯된 듯하다. 사냥할 때 전력을 다해도 되는 것이다.

껍질 형태를 조금 바꿀 수도 있지만 어느 정도까지, 왜 그러는지는 아직 알아내지 못했다."
Furball Entry,"풍성한 털과 부정할 수 없는 귀여움이 특징인 이 이족 보행 설치류는 몸 대부분이 빽빽한 털로 덮여 있다.

충분한 비타민 D를 흡수하려면 정기적으로 햇볕을 쬐어야 하며, 그때 특히 취약해진다.

하지만 곧게 선 자세와 치켜든 머리 덕분에 시야가 넓어 포식자를 더 잘 발견할 수 있다."
Bull Weevil Entry,"이 작은 곤충은 심연 외곽에서 볼 수 있으며 나뭇잎을 먹으려고 나무를 오르는 경우가 많다.

놀랍도록 사회적이라 인간을 포함한 다른 크리처를 보호자로 삼아 기꺼이 따라간다!

눈을 깜박이는 무늬로 전달되는 언어도 조금씩 해독하기 시작한 것 같다. 엄밀히 말해 소리 내어 말하는 언어는 아니다."
Blood Grub Entry,"이 애벌레의 피는 꿀처럼 진하고 끈적하며 맛도 비슷하다. 밀도가 높아 상처를 입어도 쉽게 흘러나오지 않아 치유가 빨라지고 면역에도 도움이 되는 듯하다.

하지만 피가 지나치게 농축되어 건강한 상태를 유지하려면 계속 피를 먹어야 한다."
Blood Angel Entry,"{blood_angel_name}은(는) 거대한 날개막 전체에 강력한 근육 조직이 얽혀 있다. 탁월한 운동 감각 지능과 결합되어 비행 중 비교할 수 없는 민첩성을 발휘한다.

숨 막힐 만큼 빠른 속도로 복잡한 공중 기동을 수행하고, 먹잇감을 속이고 따돌리기 위해 1초에도 여러 번 몸을 비틀고 방향을 바꾼다. 움직이는 모습을 관찰하기란 거의 불가능하며 날개폭은 18미터가 넘는다!"
Blood Dog Entry,"솔직히 {blood_dog_name}을(를) 처음 보았을 때는 시체나 다친 동물인 줄 알았다.

알고 보니 종 전체가 이렇게 생겼다! 이해할 수 없는 이유로 {blood_dog_name}은(는) 피부가 전혀 자라지 않아 근육이 완전히 노출되어 있다.

추측하자면 피 냄새로 청소 동물을 유인해 공격하게 만든 뒤 {blood_dog_name} 무리가 방심한 희생자를 기습하는 듯하다.

노출된 조직이 어떻게 감염되지 않는지는 여전히 알 수 없다..."
Starter Ant Entry,"이 개미들이 {lantern_dog_name}의 평범한 먹잇감이라고 말하면 별것 아니라고 생각할지도 모른다.

하지만 얕봐서는 안 된다! 마약성 맹독으로 크리처를 기절시킨 뒤 혼수상태인 희생자를 산 채로 먹는다.

독소를 투여하는 방법도 두 가지로 진화했다. 직접 주입하거나 안개처럼 분사하며, 후자는 무리로 공격할 때 특히 효과적이다."
Ant Evolution Entry,"딱정벌레의 돌연변이성 이빨에 물린 {ant_name}은(는) 모든 모공에서 독소를 내뿜기 시작했고, 양이 너무 많아 이제는 결정으로 굳는다.

결정이 부서지면 수면성 연기 구름이 퍼진다. 더 나쁜 경우 면도날 같은 파편으로 깨져 희생자의 몸에 박히고 독소를 혈류에 직접 주입한다.

{ant_evolution_name}은(는) 이를 잘 알고 있어 적에게 몸을 던져 결정을 깨뜨리려 한다."
Ghost Fox Entry,"털에는 어두운 심연에서도 짝을 찾게 해 주는 생물 발광 줄무늬가 생겼다.

날씨 변화를 본능적으로 감지하고 상황마다 독특한 소리를 낸다. 위험이 다가오면 웃으며 바라본다고도 하지만, 내 생각에는 위험한 기상 현상을 경고하는 것뿐이다. 그래도 많은 이들이 불운의 전조로 여긴다."
White Reaper Entry,"{white_reaper_name}은(는) 사냥할 때 숨거나 직접 공격할 필요가 없다. 자신만 길을 찾을 수 있는 복잡한 터널 미로를 파서 불쌍한 희생자가 길을 잃게 한다.

그것만으로도 끔찍한데 육식 동물을 둥지로 유인하려고 자기 몸에서 살점을 잘라 내는 모습까지 보았다.

모든 생존 본능을 거스르는 행동이지만 이제 심연에서는 어떤 것도 놀랍지 않다..."
Meat Grazer Entry,"위압적인 {meat_grazer_name}은(는) 기괴한 고유 생태계에서 자라는 살점 같은 유기물 더미를 먹는다.

가장 공격적인 포식자조차 건드리지 않는다. 몸집 때문이라고 생각하기 쉽지만 단순한 위압 이상의 이유가 있다면? 생각해 보자. {meat_grazer_name} 없이, 곪아 터지는 종양을 먹어 줄 존재가 없는 심연은 어떻게 변할까?"
Black Mermaid Entry,"이 크리처는 끊임없이 먹잇감을 찾아 맹독으로 마비시키지만 먹지는 않는다. 대신 희생자가 해구 바닥으로 가라앉게 두어 그 사체로 다음 세대의 {black_mermaid_name}을(를) 기른다.

어미가 굶어 죽으면 에피라 유생은 그 사체까지 먹는다. 이어 알을 낳고 위로 올라가 같은 순환을 반복한다."
Titanoros Entry,"기념비적인 {titanoros_name}은(는) 거대한 몸집에 더해 뚫을 수 없는 장갑판과 거대한 뿔까지 진화시켜 진정한 이동 요새가 되었다. 목 근육에 엄청난 부담을 줄 텐데도 말이다.

거의 죽일 수 없는 존재지만 긴 생애 주기 탓에 수가 매우 적다. 훈련되지 않은 눈에는 바위처럼 보이는 알만 해도 부화하는 데 2년 넘게 걸린다고 한다."
Coocoo Entry,"이 섬뜩한 포식자는 보통의 24시간이 아니라 48시간 주기로 생활한다. 긴 휴식 시간을 보완하기 위해 둘씩 짝을 지어 번갈아 사냥한다.

어떤 경우에도 잠든 {coocoo_name}이(가) 안전하다고 생각해서는 안 된다. 극도로 공격적인 몽유병을 진화시켜 잠든 상태에서도 둥지를 사납게 지킨다."
Needlefang Entry,"심연 깊은 곳에서 위장하는 대신 경고색을 과시하는 크리처를 만났다면 즉시 떠나라는 분명한 신호로 받아들여라.

{needlefang_name}의 위협은 더욱 교묘하다. 무리로 사냥하며 한 개체가 선명한 모습으로 일부러 주의를 끄는 동안 나머지가 조용히 희생자에게 접근한다. 충분히 가까워지면 주사기 같은 이빨로 치명적인 맹독을 빠르게 주입해 신속히 죽인다."
Eye of the Abyss Entry,"심층의 공포를 겪으며 진정한 두려움을 안다고 생각했다. 하지만 돌이켜 보면 이 흉물이 처음 무시무시한 시선을 던졌을 때 느낀 절망과 공포에는 전혀 미치지 못했다.

형체 없는 촉수 덩어리 아래 무엇이 있는지는 알 수 없다. 심연의 돌연변이 환경에 지나치게 오래 노출되었고, 이제 주변의 모든 것을 희생해 끝없이 먹고 자라는 것만이 유일한 목적이라는 사실만은 분명하다."
Karkoplid Entry,"이 수륙 양생 흉물은 껍질 안으로 몸을 완전히 집어넣고 굳게 닫아 어떤 부위도 노출하지 않는다. 훌륭한 방어 수단이지만 대개는 거대한 쥐덫처럼 껍질을 닫아 대상을 무력화하는 데 사용한다.

그 뒤 {karkoplid_name}은(는) 음침한 창의성을 보인다. 희생자를 물속으로 끌어가 익사시키거나 무시무시한 집게로 찢고, 천천히 목 졸라 죽이거나 통째로 삼키기도 한다."
Xiphonoir Entry,"가장 깊은 정글의 최상위 포식자인 {xiphonoir_name}은(는) 태어나서 죽을 때까지 끊임없이 살육을 벌인다.

영역에는 내장이 쏟아지고 목이 잘린, 아니면 갈가리 찢긴 사체가 널려 있어 금방 알아볼 수 있다. 오로지 피만 먹기 때문이며 불순물을 걸러 내는 특수한 주둥이로 흡입한다."
Namorphid Entry,"자연 선택이 작동하도록 여러 세대를 기다릴 이유가 무엇인가? 한 생애 안에 진화하면 된다. {namorphid_name}은(는) 바로 그것에 능하며 주변 환경에 반응해 짧은 시간에 극적인 돌연변이를 발달시킨다.

돌연변이는 유전되지만 새끼가 유생 단계를 지나야 새로운 형질이 드러난다."
Former Pioneer Entry,"이 옛 탐험가가 뿌리와 가지를 자라게 하며 심연과 <i>융합된</i> 모습을 보고 경악했다. 설명할 수 없게도 그녀는 <i>시간을 의지대로 휘게 할 수 있었다!</i><i> </i>물론 능력이 절대적이지는 않았다. 그랬다면 전투에서 살아남지 못했을 것이다. 하지만 우리를 일종의 시간 순환에 가두고 일부 순간을 지우며, 심지어 사건을... 과거에 일으키는 것이 <u>가능했다</u>?! 기억에는 없는데 이미 벌어진 일이 되어 인과율의 근본 원칙을 위반했다!!

경험한 그대로 보고하려 최선을 다하고 있지만 가끔은 내가 미쳤다고 믿는 편이 더 쉽다..."
Fetus Fruit Entry,"처음에는 믿을 수 없었지만 {former_pioneer_name}의 가지에 열린 이 기묘한 열매 안에는 인간형 배아가 들어 있었다. 대체 어떻게 잉태된 걸까?

마침내 열매를 찌르자 갓 태어난 존재가 튀어나와 달아났다. 추격할 힘도, 죽일 만큼 냉혹한 마음도 없었다. 하지만 솔직히 말하면 그것이 실수였을지도 모른다는 생각이 든다..."
Mummified Teammates Entry,"변신 과정에서 {former_pioneer_name}은(는) 자신의 야수 팀을 흡수한 듯하다. 미라로 만들어 영원한 복종 속에 목숨을 연장했다. 나를 놀라게 하고 충격에 빠뜨릴 광경에 익숙한 내 크리처들조차 이 모습에는 심하게 동요했다...

동물들이 엄청난 고통 속에 있었다는 사실은 조금만 봐도 알 수 있다. 존재를 끝낸 것은 자비였다고 생각한다."
Colossus Entry,"방금 겪은 일의 규모를 제대로 전달할 수 있을지 모르겠다. 제곱-세제곱 법칙에 따르면 저 거인은 자기 무게로 무너지거나 내부 열로 끓어 죽었어야 하지 않는가?? 생물학은 물론 물리 법칙마저 거스른다!

녀석이 팔을 휘두르며 다가왔을 때 든 생각은 하나뿐이었다. '산에 깔려 죽는 것이 부끄러운 일인가?' 그렇다. 이 괴물과 맞서는 것은 자연재해와 싸우는 것과 같았다. 패배할 싸움이 아니라 애초에 싸움이 존재하지 않는다. 그저 버틸 수밖에 없다."
Perfect Son Entry,"</i>아들은 다시 몸을 재구성했고 이번에는 말하는 능력까지 얻었다. 녀석이 처음 내뱉은 문장에 등골이 서늘해졌다.

<i>'완벽한 존재거나... 내가 아니거나.'</i>

충격적이었다. <i>의사소통을 할 수 있었다!</i> 묻고 싶은 것이 끝없이 많았지만 얼어붙어 한마디도 하지 못했다... 이상하게도 수많은 형태 중 가장 인간에 가까워진 모습이 가장 무서웠다.

어쨌든 마지막 변신은 심연의 돌연변이에 수수께끼를 더했으며 나는 완전히 압도되고 말았다..."
Son of the Abyss Entry,"{former_pioneer_name}의 열매에서 태어난 바로 그 크리처다! 믿을 수 없을 만큼 빨리 성숙했다. 어미가 시간을 조작한 능력 때문일까? 어쨌든 반은 인간, 반은 심연의 존재라는 혈통이 몹시 불안하다...

놀랍게도 심연 깊은 곳에서 생존에 어려움을 겪는 다른 크리처를 모아 스스로 만든 듯한 목구멍 소리의 언어로 지휘하고 있다. 이런, 나를 발견한 것 같다... 나중에 계속 써야겠다."
Abominable Son Entry,"죽였다고 생각했지만 {son_of_the_abyss_name}은(는) 믿을 수 없는 속도로 돌연변이를 일으켜 거대한 흉물로 변했다! 이제 확신한다. 어미의 시간 가속 능력이 뒤틀린 형태로 유전된 것이다. 몇 분마다 인간 크기의 종양을 키워 몸 밖으로 배출할 만큼 빠르게 변이하며, <i>그 종양들</i>마저 계속 변이해 기묘하게 생명을 흉내 내는 형태를 얻는다.

시간 가속이 심연의 높은 돌연변이율을 이해하는 열쇠일까? 증거가 더 필요하지만 무시할 수 없는 단서다."
Orphan Colony Entry,"{shell_cat_name}이(가) 죽으면 군체를 이루던 먹물 민달팽이는 대개 흩어져 자연으로 돌아간다. 하지만 이들은 계속 뭉쳐 있었고 새로운 개체를 받아들였을 가능성도 있다. 본성상 '주인'을 찾아야 해서 {son_of_the_abyss_name}을(를) 따르는 것일까? 확실한 사실은 고양이가 이들을 통제하고 있었다는 것이다...

작은 고양이의 제약에서 벗어나자 끈적이는 성질 때문에 극도로 성가셔졌다. 침입종일 가능성도 높고 무리로 뭉치면 놀라울 만큼 쓰러뜨리기 어렵다. 다행히 이런 군체는 드물다."
Elder Tongue Biter Entry,"늙은 {tongue_biter_name}의 끝없이 자라는 혀가 말년에 문제를 일으킬 수 있다는 것은 알았지만, 이 표본은 전례 없이 역겨운 극단에 도달했다...

혀 자체에는 식도가 없으므로 원래 입으로 먹어야 한다. 그렇다면 어떻게 이렇게 오래 살아남았을까? 우리가 맞붙기 전 {son_of_the_abyss_name}이(가) 곤충을 으깨 반죽으로 만드는 모습을 보았다... 이 크리처에게 먹이려던 것일까?"
Greatshell Krill Entry,"한곳에 이렇게 많은 {greatshell_name} 크릴이 모인 모습은 처음 봤다! {son_of_the_abyss_name}이(가) 제공하는 상대적인 안전에 이끌렸겠지만 역설적으로 더 적대적인 장소는 없었을 것이다. 빽빽하게 모이자 경쟁 본능이 더욱 강해져 무리는 동족끼리 싸우는 혼돈의 광란에 빠졌다.

그렇다고 위협이 줄어든 것은 아니다. 조직력은 없었지만 압도적인 수와 식욕 때문에 군집에 휘말린 크리처는 몇 분 뒤 뼈만 깨끗이 발린 해골로 나올 운명이었다..."
Living Tumor Entry,"이 야만적인 존재들은 {abominable_son_name}의 암성 종양에서 직접 태어난다. 악몽에서나 볼 법한 공포지만 나는... 아마 깨어 있는 것 같다.

자연 선택의 방향성도 없이 혼란스럽게 변이한 종양이 어떻게 고유한 장기와 신체 구조를 발달시켰는지 연구하고 싶었다. 하지만 괴물들이 쉴 틈을 주지 않았다. 분석할 만한 것은 아무것도 회수하지 못했다..."
Eye of the Abyss Abomination Entry,"{eye_of_the_abyss_name}이(가) 엄청난 크기로 자라면서 먼 거리를 빠르게 이동하는 능력을 서서히 잃었을 것이다. 어느 시점에는 끝없는 허기를 채우기 위해 두 크리처를 노예로 삼아 대신 사냥하게 해야 했을 것이다.

시간이 흐르며 그들도 과도한 돌연변이로 형체를 알아볼 수 없게 되었다. 과거의 자아를 잃고 존재 목적 전체가 끔찍한 주인을 섬기는 일로 축소되었다. 적어도 내 가설은 그렇다."
Specimen Entry,"아직 이 크리처를 자세히 연구할 기회는 없었지만 초기 관찰 결과는 놀랍다. 침에는 소독, 항염, 재생 효과가 있는 듯하다. 핥은 상처는 5분 안에 통증이 사라지는 경향을 보이고 한 시간 안에 피부가 흉터 하나 없이 완전히 재생된다.

만병통치약처럼 들린다면 실제로도 사실상 그렇기 때문이다.

무슨 수를 써서라도 더 조사해야 한다..."
